UTTERANCE,TRUE_LABEL,RESPONSE,PRED_LABEL
what s quite important is its about the thermal incli inclis pen,F,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
but its also about the media,S,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
so its the interaction between the special paper and the thermal pen basically ok,Be,"{""label"": ""F""}
Okay, let's break this down. The segment",F
but I know quite a lot of the briefing openly focuses about the print and things like that and obviously that is a key aspect of the brainstorm,F,"{""label"": ""F""}
Okay, let's tackle this. The segment says",F
but we should also not forget that the paper is involved in all of this as well,S,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
the one on the top left is the one that is the real main,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
focus of the of what we re doing today,Be,"{""label"": ""N""} 

Segment:
the goal is to understand what the",N
that is the standard plain thermal paper err and then it can draw,F,"{""label"": ""S""}
Alright, let's break this down. The segment",S
its either atoms or line types er,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
so for the process of making this prototype that is going to help us sell the project that is the concept really err design a a prototype umm,F,"{""label"": ""F""}
Okay, let's tackle this. The segment is",F
the other ideas on the paper there were other concepts for a thermal pen which erm may form the ultimate product,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
but are not what we re going to prototype first,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
erm so we may want to talk about those later,Be,"{""label"": ""N""}
Okay, let me try to figure out the label",N
as a sort of broader,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
spectrum,Be,"{""label"": ""N""}
JSON answer: {""label"": ""N""}
JSON",N
spectrum but the main focus is that style pen,F,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
where you will create a set of patterns by moving on plain white paper,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
will this be in colour,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
yeah well we should the impetus for this is that erm clients come up with this new rainbow media,S,"{""label"": ""N""}
Okay, let's break this down. The segment",N
and we can print thermo reactive dyes onto er,F,"{""label"": ""F""} The segment ""and we can print thermo reactive d",F
media substrates and then when you heat them up they cool to reach the colour they re supposed to be,Be,"{""label"": ""N""}
Okay, let's tackle this segment: ""media",N
so erm we have done some test prints on this erm been tested by the HP boss,Bs,"{""label"": ""N""}
Okay, let's break this down. The segment",N
and playing with erm hot air miraculously a colour image appears erm out of a blank sheet of paper,Bs,"{""label"": ""N""}
Alright, let's break down this segment: """,N
so providing we could provide a heat source,S,"{""label"": ""F""}
Okay, let's tackle this. The segment is",F
then we could reveal anything which is printed on the paper,Bs,"{""label"": ""F""}
Okay, let's tackle this. The segment is",F
now erm technically that is more demanding,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
because energising the entire printout takes time,Bs,"{""label"": ""F""}
Okay, let's tackle this segment: ""because",F
hammers the batteries and its quite a demanding thing to do,Bs,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
so technically the stuff where you have got a low percentage fill sort of faces and text and things like that is a lot more realisable,Be,"{""label"": ""F""}
Okay, let's tackle this. The segment is",F
but if we could do that with the media,S,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
whether we could do that with this adaptation I don t know,Bs,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
the one on the right the one on the right does not actually have to be a thermal pen it could just be,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
it could be a soldering iron,S,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
or a hot air,S,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
but basically th the focus is on that at the moment and basically th the idea is that there is a thermal print out in in the nib of the pen,Be,"{""label"": ""F""}
Okay, let's break this down. The segment",F
whichever shape that takes now with that concept,S,"{""label"": ""N""}
Okay, let's tackle this segment: ""wh",N
there are a number of specific problems that need to be overcome,Be,"{""label"": ""F""}
Okay, let's tackle this. The segment is",F
so basically the first problem that we need to think about is the wobbly arm movement of the users,Be,"{""label"": ""F""}
Okay, let's tackle this. The segment says",F
this is aimed at potentially but not exclusively at five to eleven years olds,F,"{""label"": ""F""}
Okay, let's tackle this. The segment says",F
who have some writing skill but not fantastic writing skill they re likely to hold the pen different ways errm different angles etcetera and,BS,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
so ther there is two important things,Be,"{""label"": ""N""}
Okay, let's tackle this. The segment is",N
one is with respect to that in this concept one is that that the printout needs to stay in contact with the thermal print paper to actual print,S,"{""label"": ""F""}
Okay, let's tackle this. The segment says",F
so there needs to be this contact maintained,Be,"{""label"": ""F""}
Okay, let's tackle this. The segment is",F
