UTTERANCE,TRUE_LABEL,RESPONSE,PRED_LABEL
yes this there is an end,S,"{""label"": """"}

Text: ""yes this there is a beginning""
Label",D
there is an end that goes over the paper is not there is sort of thing,Be,"{""label"": ""}

Text: ""one that you can draw on that is",D
there is a type that does this as well though,S,"{""label"": ""S""}

Text: ""and then the next one is the",S
draw refE1_15 Flipchartjpg middle overlap left,D,"{""label"": """"}

Text: ""there are two resistors""
Label (",D
but they type that we have got is like this but in actual fact its much more biased towards the edge,S,"{""label"": """"}

Text: ""but the type of resistor that we have",D
so you normally have a a slight angle here,S,"{""label"": """"}

Text: ""but it can be level if you have",D
right so easiest thing obviously draws on flip chart,S,"{""label"": ""F""}

Text: ""and it would be a good idea",F
yeah the the typically what you do is you have got foil going over and,S,"{""label"": ""S""}


Text: ""the one on the top left",S
you get quite a lot you know you can have quite a lot of angle there,S,"{""label"": ""S""}
Text: ""and you can have the tip of",S
draw angle,D,"{""label"": ""Bs""}


Here is the classification for the given text:",Bs
so we were talking mostly about that one or that one,S,"{""label"": """"}

Text: ""but we should also not forget that the",D
that one sort of plus or minus,S,"{""label"": ""F""}

Text: ""the one that is the real main",F
all these you have to keep flat or long,S,"{""label"": ""S""}
Text: ""so we can test the pen with",S
its just its just whether we need flat or long,S,"{""label"": ""Bs""}
Text: ""so its just the length of the",Bs
both axes,S,"{""label"": ""S""}
Text: ""these two are on a 90",S
both axes,S,"{""label"": """"}

Text: ""but it is not the same as the",D
yeah I think we do well we need guidance on both axes whichever way,S,"{""label"": ""Bs""}

Text: ""but I think we need to get",Bs
you do it I think,S,"{""label"": ""D""}

Text: ""in order to do this""
Label",D
you have like you have like a hot ball a hot ball like a ball point pen,S,"{""label"": ""Bs""}
Text: ""so you have to be careful with",Bs
draw circle draw refE1_15 Flipchartjpg middle,D,"{""label"": ""S""}


Text: ""draw circle draw refE1",S
and then you had a tracker like an optical mast then,S,"{""label"": ""Bs""}
Text: ""and the other idea was to have",Bs
